Gender,Rhythm1,Rhythm2,Rtotal,CTest1,CTest2,Penalty1,Penalty2,CoorScore,VJump1,VJump2,VJumpScore,30m,30mScore,PH1,PHB1,PHV1,PHA1,PH2,PHB2,PHV2,PHA2,PH3,PHB3,PHV3,PHA3,PH4,PHB4,PHV4,PHA4,PH5,PHB5,PHV5,PHA5,R1,RB1,RV1,RA1,R2,RB2,RV2,RA2,R3,RB3,RV3,RA3,R4,RB4,RV4,RA4,S1,SB1,SV1,SA1,S2,SB2,SV2,SA2,S3,SB3,SV3,SA3,S4,SB4,SV4,SA4,PS1,PSB1,PSV1,PSA1,PS2,PSB2,PSV2,PSA2,PS3,PSB3,PSV3,PSA3,PS4,PSB4,PSV4,PSA4,Branch
1,8,7,15,26.79,25.82,1,0,39.46,43.4,43.4,5.47,4.32,8.26,5,0.56,0.513,0.6765,3,0.36,0.3306,0.3444,1,0.032,0.0342,0.0287,3,0.156,0.171,0.1722,4,0.336,0.304,0.2952,1,0.1036,0.112,0.12,5,0.224,0.272,0.225,4,0.2464,0.2688,0.336,2,0.14,0.1728,0.102,5,0.2205,0.196,0.132,1,0.0546,0.0182,0.0198,2,0.1134,0.0588,0.0792,1,0.0546,0.0532,0.0242,1,0.0385,0.0592,0.0684,2,0.0418,0.0576,0.072,2,0.044,0.0704,0.0612,1,0.0286,0.0368,0.045,O
0,7,8,15,28.36,27.78,0,0,39.36,26.16,36.54,5.33,4.56,9.39,1,0.112,0.1026,0.1353,4,0.48,0.4408,0.4592,5,0.16,0.171,0.1435,4,0.208,0.228,0.2296,5,0.42,0.38,0.369,2,0.2072,0.224,0.24,3,0.1344,0.1632,0.135,5,0.308,0.336,0.42,4,0.28,0.3456,0.204,5,0.2205,0.196,0.132,4,0.2184,0.0728,0.0792,4,0.2268,0.1176,0.1584,5,0.273,0.266,0.121,4,0.154,0.2368,0.2736,2,0.0418,0.0576,0.072,5,0.11,0.176,0.153,2,0.0572,0.0736,0.09,B
0,8,6,14,31.85,29.38,0,0,39.33,44.42,46.51,8.21,4.33,14.39,1,0.112,0.1026,0.1353,5,0.6,0.551,0.574,3,0.096,0.1026,0.0861,1,0.052,0.057,0.0574,5,0.42,0.38,0.369,4,0.4144,0.448,0.48,4,0.1792,0.2176,0.18,5,0.308,0.336,0.42,3,0.21,0.2592,0.153,1,0.0441,0.0392,0.0264,4,0.2184,0.0728,0.0792,5,0.2835,0.147,0.198,4,0.2184,0.2128,0.0968,4,0.154,0.2368,0.2736,3,0.0627,0.0864,0.108,2,0.044,0.0704,0.0612,2,0.0572,0.0736,0.09,B
0,7,4,11,29.85,29.39,1,1,39.3,32.01,30.28,3.42,4.56,11.53,5,0.56,0.513,0.6765,2,0.24,0.2204,0.2296,4,0.128,0.1368,0.1148,3,0.156,0.171,0.1722,5,0.42,0.38,0.369,5,0.518,0.56,0.6,5,0.224,0.272,0.225,4,0.2464,0.2688,0.336,5,0.35,0.432,0.255,2,0.0882,0.0784,0.0528,2,0.1092,0.0364,0.0396,5,0.2835,0.147,0.198,4,0.2184,0.2128,0.0968,5,0.1925,0.296,0.342,4,0.0836,0.1152,0.144,5,0.11,0.176,0.153,5,0.143,0.184,0.225,A
1,8,7,15,28.31,25.91,1,0,39.14,49.74,55.36,9.26,4.2,9.62,1,0.112,0.1026,0.1353,1,0.12,0.1102,0.1148,2,0.064,0.0684,0.0574,4,0.208,0.228,0.2296,4,0.336,0.304,0.2952,3,0.3108,0.336,0.36,5,0.224,0.272,0.225,5,0.308,0.336,0.42,4,0.28,0.3456,0.204,1,0.0441,0.0392,0.0264,1,0.0546,0.0182,0.0198,3,0.1701,0.0882,0.1188,5,0.273,0.266,0.121,4,0.154,0.2368,0.2736,2,0.0418,0.0576,0.072,3,0.066,0.1056,0.0918,2,0.0572,0.0736,0.09,V
0,8,6,14,30.92,29.44,0,0,39.14,27.77,23.84,2.03,4.61,10.85,1,0.112,0.1026,0.1353,2,0.24,0.2204,0.2296,4,0.128,0.1368,0.1148,5,0.26,0.285,0.287,4,0.336,0.304,0.2952,1,0.1036,0.112,0.12,2,0.0896,0.1088,0.09,1,0.0616,0.0672,0.084,2,0.14,0.1728,0.102,5,0.2205,0.196,0.132,3,0.1638,0.0546,0.0594,5,0.2835,0.147,0.198,5,0.273,0.266,0.121,4,0.154,0.2368,0.2736,5,0.1045,0.144,0.18,4,0.088,0.1408,0.1224,4,0.1144,0.1472,0.18,O
1,6,4,10,25.92,26.34,0,0,39.1,38.44,36.54,3.89,4.38,7.51,2,0.224,0.2052,0.2706,1,0.12,0.1102,0.1148,5,0.16,0.171,0.1435,3,0.156,0.171,0.1722,4,0.336,0.304,0.2952,2,0.2072,0.224,0.24,5,0.224,0.272,0.225,1,0.0616,0.0672,0.084,5,0.35,0.432,0.255,1,0.0441,0.0392,0.0264,3,0.1638,0.0546,0.0594,1,0.0567,0.0294,0.0396,2,0.1092,0.1064,0.0484,3,0.1155,0.1776,0.2052,2,0.0418,0.0576,0.072,3,0.066,0.1056,0.0918,3,0.0858,0.1104,0.135,O
1,8,7,15,26.4,25.92,1,0,39.09,41.38,42.38,5.14,3.93,12.89,5,0.56,0.513,0.6765,5,0.6,0.551,0.574,4,0.128,0.1368,0.1148,2,0.104,0.114,0.1148,4,0.336,0.304,0.2952,1,0.1036,0.112,0.12,3,0.1344,0.1632,0.135,5,0.308,0.336,0.42,4,0.28,0.3456,0.204,1,0.0441,0.0392,0.0264,1,0.0546,0.0182,0.0198,4,0.2268,0.1176,0.1584,1,0.0546,0.0532,0.0242,1,0.0385,0.0592,0.0684,1,0.0209,0.0288,0.036,5,0.11,0.176,0.153,4,0.1144,0.1472,0.18,V
0,7,8,15,27.92,28.27,0,0,38.92,32.89,24.6,4.14,4.38,11.57,1,0.112,0.1026,0.1353,4,0.48,0.4408,0.4592,4,0.128,0.1368,0.1148,5,0.26,0.285,0.287,5,0.42,0.38,0.369,2,0.2072,0.224,0.24,2,0.0896,0.1088,0.09,4,0.2464,0.2688,0.336,5,0.35,0.432,0.255,1,0.0441,0.0392,0.0264,5,0.273,0.091,0.099,3,0.1701,0.0882,0.1188,1,0.0546,0.0532,0.0242,1,0.0385,0.0592,0.0684,4,0.0836,0.1152,0.144,4,0.088,0.1408,0.1224,5,0.143,0.184,0.225,B
0,7,7,14,30.3,29.51,0,0,38.92,30.28,32.01,3.42,4.54,11.76,5,0.56,0.513,0.6765,4,0.48,0.4408,0.4592,2,0.064,0.0684,0.0574,2,0.104,0.114,0.1148,2,0.168,0.152,0.1476,1,0.1036,0.112,0.12,4,0.1792,0.2176,0.18,2,0.1232,0.1344,0.168,5,0.35,0.432,0.255,2,0.0882,0.0784,0.0528,2,0.1092,0.0364,0.0396,1,0.0567,0.0294,0.0396,3,0.1638,0.1596,0.0726,3,0.1155,0.1776,0.2052,2,0.0418,0.0576,0.072,5,0.11,0.176,0.153,4,0.1144,0.1472,0.18,V
